Course,Name,Last,Time,Location
EC414 ,Intro to Machine Learning,Batmanghelich,Monday/Wednesday 2:30 - 4:15 PM,PHO 203
EC 471,Physics of Semiconductor Devices,Sharifzadeh,Tuesday/Thursday 1:30 - 3:15 PM,CAS 227
EC 531,Full Stack Software at Scale,Trachtenberg,Tuesday/Thursday 1:30 - 3:15 PM,CDS 264
EC 402,Control Systems,Pisano,Monday/Wednesday 12:20 - 2:05 PM,EPC 209
